,Title,Certificate,Episode_runtime,Genre,IMDb,Star1,Star2,Star3,Star4,Votes,Start_year,End_year,Series_runtime,New_cert
581,Harper's Island,NA,40,"Mystery, Drama, Horror",7.5,Elaine Cassidy,Christopher Gorham,Matt Barr,Gina Holden,25341,2009,2009.0,1.0,16
582,My Wife and Kids,NA,30,"Family, Comedy",6.8,Damon Wayans,Tisha Campbell-Martin,George Gore II,Parker McKenna Posey,25280,2001,2005.0,5.0,6
583,Living with Yourself,18,26,"Drama, Comedy, Sci-Fi",7.2,Paul Rudd,Aisling Bea,Desmin Borges,Karen Pittman,25263,2019,,,9
584,Baywatch,13,60,"Adventure, Crime, Action",5.3,David Hasselhoff,Pamela Anderson,Yasmine Bleeth,Jeremy Jackson,25045,1989,2001.0,13.0,12
585,The Deuce,18+,60,Drama,8.1,James Franco,Maggie Gyllenhaal,Lawrence Gilliard Jr.,Margarita Levieva,24971,2017,2019.0,3.0,16
586,Rescue Me,NA,60,"Drama, Comedy",8.3,Denis Leary,Michael Lombardi,Steven Pasquale,Andrea Roth,24958,2004,2011.0,8.0,12
587,Fuller House,UA,30,"Family, Comedy",6.8,Candace Cameron Bure,Jodie Sweetin,Andrea Barber,Michael Campion,24870,2016,2020.0,5.0,AL
588,Family Matters,NA,30,"Adventure, Drama, Comedy",6.6,Reginald VelJohnson,Jaleel White,Kellie Shanygne Williams,Darius McCrary,24771,1989,1998.0,10.0,TV-G
589,Nurse Jackie,NA,27,"Drama, Comedy",7.7,Edie Falco,Merritt Wever,Paul Schulze,Dominic Fumusa,24764,2009,2015.0,7.0,12
590,The Fosters,NA,60,"Romance, Drama",7.9,Teri Polo,Sherri Saum,Hayden Byerly,David Lambert,24725,2013,2018.0,6.0,12
591,Better Off Ted,NA,30,"Comedy, Sci-Fi",8.2,Jay Harrington,Portia de Rossi,Andrea Anders,Jonathan Slavin,24691,2009,2010.0,2.0,TV-PG
592,Another Life,16+,43,"Mystery, Adventure, Drama",5.0,Katee Sackhoff,JayR Tinaco,Elizabeth Faith Ludlow,Blu Hunt,24655,2019,,,16
593,Rectify,NA,60,Drama,8.3,Aden Young,Abigail Spencer,J. Smith-Cameron,Adelaide Clemens,24628,2013,2016.0,4.0,12
594,Southland,NA,42,"Drama, Thriller, Crime",8.4,Michael Cudlitz,Shawn Hatosy,Regina King,Ben McKenzie,24613,2009,2013.0,5.0,TV-MA
595,Never Have I Ever,16,30,Comedy,7.9,Maitreyi Ramakrishnan,Darren Barnet,Poorna Jagannathan,Richa Moorjani,24566,2020,,,AL
596,Top Gear,NA,30,Documentary,8.3,Tiff Needell,Jeremy Clarkson,Quentin Willson,Chris Goffey,24447,1978,2002.0,25.0,AL
597,Batman Beyond,NA,23,"Animation, Adventure, Action",8.1,Will Friedle,Kevin Conroy,Lauren Tom,Cree Summer,24402,1999,2001.0,3.0,TV-Y7
598,Cold Case,NA,44,"Mystery, Drama, Crime",7.6,Kathryn Morris,Danny Pino,John Finn,Jeremy Ratchford,24352,2003,2010.0,8.0,12
599,The Kominsky Method,18,30,"Drama, Comedy",8.2,Michael Douglas,Alan Arkin,Sarah Baker,Nancy Travis,24296,2018,,,12
600,Forbrydelsen,NA,57,"Mystery, Drama, Crime",8.4,Sofie Gråbøl,Morten Suurballe,Lars Mikkelsen,Bjarne Henriksen,24292,2007,2012.0,6.0,12
601,Being Human,NA,44,"Fantasy, Drama, Horror",7.5,Sam Witwer,Meaghan Rath,Sam Huntington,Kristen Hager,24285,2011,2014.0,4.0,TV-14
602,Marcella,18,45,"Mystery, Drama, Crime",7.4,Anna Friel,Ray Panthaki,Jack Doolan,Jamie Bamber,24222,2016,,,16
603,Witches of East End,NA,60,"Fantasy, Drama, Comedy",7.6,Julia Ormond,Jenna Dewan,Rachel Boston,Mädchen Amick,24195,2013,2014.0,2.0,12
604,The L Word,NA,50,"Romance, Drama",7.6,Jennifer Beals,Leisha Hailey,Laurel Holloman,Mia Kirshner,24134,2004,2009.0,6.0,12
605,7th Heaven,NA,60,"Family, Drama, Comedy",5.2,Stephen Collins,Catherine Hicks,Jessica Biel,Beverley Mitchell,24132,1996,2007.0,12.0,AL
606,Midsomer Murders,NA,90,"Mystery, Drama, Crime",7.7,John Nettles,Jane Wymark,Barry Jackson,Jason Hughes,24114,1997,,,12
607,Animal Kingdom,18,60,"Drama, Crime",8.2,Shawn Hatosy,Ben Robson,Jake Weary,Finn Cole,24089,2016,,,16
608,Being Human,NA,60,"Fantasy, Drama, Comedy",7.8,Lenora Crichlow,Russell Tovey,Aidan Turner,Sinéad Keenan,23996,2008,2013.0,6.0,TV-14
609,8 Simple Rules... for Dating My Teenage Daughter,NA,30,"Drama, Comedy",7.0,Katey Sagal,Kaley Cuoco,Amy Davidson,Martin Spanjers,23934,2002,2005.0,4.0,6
610,Caprica,NA,60,"Drama, Action, Sci-Fi",7.1,Eric Stoltz,Esai Morales,Paula Malcomson,Alessandra Torresani,23886,2009,2010.0,2.0,16
611,House of Lies,NA,28,"Drama, Comedy",7.4,Don Cheadle,Kristen Bell,Ben Schwartz,Josh Lawson,23831,2012,2016.0,5.0,12
612,Kim Possible,NA,30,"Animation, Adventure, Action",7.2,Christy Carlson Romano,Will Friedle,Nancy Cartwright,Tahj Mowry,23815,2002,2007.0,6.0,6
613,Dragon Ball GT: Doragon bôru jîtî,NA,24,"Animation, Adventure, Action",6.8,Elise Baughman,Andrew Chandler,Masako Nozawa,Yûko Minaguchi,23798,1996,2003.0,8.0,TV-PG
614,'Allo 'Allo!,NA,45,"History, Comedy, War",8.4,Gorden Kaye,Carmen Silvera,Vicki Michelle,Richard Marner,23647,1982,1992.0,11.0,NA
615,Dragon Ball Super: Doragon bôru cho,7,24,"Animation, Adventure, Action",8.4,Masako Nozawa,Naoki Tatsuta,Ryô Horikawa,Sean Schemmel,23631,2015,2018.0,4.0,TV-PG
616,The Venture Bros.,NA,22,"Animation, Adventure, Action",8.5,Christopher McCulloch,James Urbaniak,Doc Hammer,Michael Sinterniklaas,23541,2003,2018.0,16.0,TV-MA
617,Moonlight,NA,60,"Fantasy, Drama, Horror",7.6,Alex O'Loughlin,Sophia Myles,Jason Dohring,Shannyn Sossamon,23540,2007,2008.0,2.0,12
618,You're the Worst,NA,30,"Romance, Drama, Comedy",8.1,Chris Geere,Aya Cash,Desmin Borges,Kether Donohue,23455,2014,2019.0,6.0,12
619,Greek,NA,60,"Drama, Comedy",7.5,Clark Duke,Scott Michael Foster,Spencer Grammer,Paul James,23453,2007,2011.0,5.0,6
620,Cursed,18,1.0,"Fantasy, Adventure, Drama",5.8,Katherine Langford,Devon Terrell,Gustaf Skarsgård,Daniel Sharman,23360,2020,,,16
621,Miami Vice,NA,48,"Drama, Crime, Action",7.5,Don Johnson,Philip Michael Thomas,Saundra Santiago,Olivia Brown,23357,1984,1989.0,6.0,12
622,Extant,NA,42,"Drama, Thriller, Sci-Fi",6.6,Halle Berry,Pierce Gagnon,Grace Gummer,Tyler Hilton,23304,2014,2015.0,2.0,9
623,Studio 60 on the Sunset Strip,NA,44,"Drama, Comedy",8.2,Matthew Perry,Amanda Peet,Bradley Whitford,Steven Weber,23206,2006,2007.0,2.0,TV-14
624,Daria,NA,30,"Animation, Drama, Comedy",8.0,Tracy Grandstaff,Wendy Hoopes,Julian Rebolledo,John Lynn,23194,1997,2001.0,5.0,6
625,Reaper,NA,45,"Adventure, Drama, Comedy",7.7,Bret Harrison,Tyler Labine,Rick Gonzalez,Missy Peregrym,23171,2007,2009.0,3.0,TV-14
626,Nashville,NA,43,"Romance, Drama, Music",7.7,Hayden Panettiere,Clare Bowen,Charles Esten,Jonathan Jackson,23108,2012,2018.0,7.0,12
627,Inside Look: The People v. O.J. Simpson - American Crime Story,NA,5,"Short, Documentary",8.4,Sarah Paulson,Brad Simpson,Sterling K. Brown,Nina Jacobson,23048,2016,2016.0,1.0,12
628,Mike & Molly,13,30,Comedy,6.4,Billy Gardell,Melissa McCarthy,Reno Wilson,Katy Mixon,23040,2010,2016.0,7.0,NA
629,Nanatsu no taizai,16,24,"Animation, Adventure, Action",8.1,Bryce Papenbrook,Erika Harlacher,Max Mittelman,Cristina Valenzuela,23018,2014,,,12
630,Camelot,NA,45,"Fantasy, Drama, History",6.5,Joseph Fiennes,Jamie Campbell Bower,Tamsin Egerton,Peter Mooney,22983,2011,2011.0,1.0,12
631,Mystery Science Theater 3000,NA,92,"Comedy, Sci-Fi",8.5,Joel Hodgson,Michael J. Nelson,Trace Beaulieu,Kevin Murphy,22979,1988,1999.0,12.0,TV-14
632,Star Wars: Clone Wars,NA,133,"Animation, Adventure, Action",7.8,Mat Lucas,James Arnold Taylor,André Sogliuzzo,Grey Griffin,22865,2003,2005.0,3.0,6
633,Switched at Birth,NA,60,"Romance, Family, Drama",7.7,Katie Leclerc,Vanessa Marano,Constance Marie,D.W. Moffett,22825,2011,2017.0,7.0,AL
634,Aqua Teen Hunger Force,NA,15,"Animation, Comedy",7.6,Dave Willis,Carey Means,Dana Snyder,Matt Maiellaro,22824,2000,2015.0,16.0,TV-MA
635,Law & Order: Criminal Intent,NA,60,"Mystery, Drama, Crime",7.4,Kathryn Erbe,Vincent D'Onofrio,Jamey Sheridan,Courtney B. Vance,22812,2001,2011.0,11.0,NA
636,Jersey Shore,NA,40,"Reality-TV, Drama, Comedy",3.6,Sammi 'Sweetheart' Giancola,Nicole Polizzi,Mike 'The Situation' Sorrentino,Jenni Farley,22808,2009,2012.0,4.0,12
637,Mozart in the Jungle,18,29,"Drama, Comedy, Music",8.2,Gael García Bernal,Lola Kirke,Saffron Burrows,Hannah Dunne,22803,2014,2018.0,5.0,12
638,The Closer,NA,46,"Mystery, Drama, Crime",7.6,Kyra Sedgwick,J.K. Simmons,Corey Reynolds,Robert Gossett,22789,2005,2012.0,8.0,12
639,Recess,NA,23,"Animation, Adventure, Comedy",7.8,Andrew Lawrence,Ashley Johnson,Jason Davis,Rickey D'Shon Collins,22647,1997,2001.0,5.0,TV-Y
640,Dominion,NA,90,"Fantasy, Drama, Action",6.8,Christopher Egan,Tom Wisdom,Roxanne McKee,Luke Allen-Gale,22626,2014,2015.0,2.0,12
641,Insatiable,18,45,"Drama, Thriller, Comedy",6.5,Dallas Roberts,Debby Ryan,Christopher Gorham,Kimmy Shields,22623,2018,2019.0,2.0,12
642,Victoria,15+,60,"Biography, Drama, History",8.2,Jenna Coleman,Adrian Schiller,Tommy Knight,Jordan Waller,22614,2016,,,NA
643,Private Practice,NA,60,"Romance, Drama, Comedy",6.7,Kate Walsh,Paul Adelstein,KaDee Strickland,Taye Diggs,22520,2007,2013.0,7.0,12
644,Conan,NA,42,"Talk-Show, Comedy, Music",8.1,Conan O'Brien,Andy Richter,Jimmy Vivino and the Basic Cable Band,Jimmy Vivino,22510,2010,,,NA
645,The Muppet Show,NA,30,"Family, Comedy, Music",8.4,Jim Henson,Frank Oz,Richard Hunt,Dave Goelz,22450,1976,1981.0,6.0,AL
646,"Magnum, P.I.",NA,48,"Adventure, Crime, Action",7.5,Tom Selleck,John Hillerman,Roger E. Mosley,Larry Manetti,22381,1980,1988.0,9.0,12
647,Fresh Off the Boat,PG,22,Comedy,7.8,Randall Park,Constance Wu,Hudson Yang,Forrest Wheeler,22353,2015,2020.0,6.0,AL
648,Dear White People,18,30,"Drama, Comedy",6.2,Logan Browning,Brandon P Bell,DeRon Horton,Antoinette Robertson,22334,2017,2021.0,5.0,16
649,Wet Hot American Summer: First Day of Camp,NA,30,Comedy,7.4,Marguerite Moreau,Zak Orth,Paul Rudd,Michael Showalter,22317,2015,2015.0,1.0,TV-MA
650,Aashram,Not Rated,45,"Mystery, Drama, Crime",7.4,Bobby Deol,Chandan Roy Sanyal,Aditi Sudhir Pohankar,Darshan Kumaar,22280,2020,2020.0,1.0,NA
651,Inhumans,15+,43,"Adventure, Action, Sci-Fi",5.0,Anson Mount,Serinda Swan,Ken Leung,Eme Ikwuakor,22239,2017,2017.0,1.0,TV-PG
652,Manifest,16,43,"Mystery, Drama, Sci-Fi",7.2,Melissa Roxburgh,Josh Dallas,J.R. Ramirez,Luna Blaise,22180,2018,,,12
653,The Mist,18,42,"Drama, Horror, Sci-Fi",5.4,Morgan Spector,Alyssa Sutherland,Gus Birney,Danica Curcic,22176,2017,2017.0,1.0,16
654,Runaways,16,60,"Drama, Action, Sci-Fi",7.0,Rhenzy Feliz,Lyrica Okano,Virginia Gardner,Ariela Barer,22157,2017,2019.0,3.0,12
655,Salem,NA,60,"Fantasy, Drama, Horror",7.2,Janet Montgomery,Shane West,Seth Gabel,Tamzin Merchant,22145,2014,2017.0,4.0,16
656,College Romance,16+,30,"Romance, Drama, Comedy",8.9,Manjot Singh,Apoorva Arora,Keshav Sadhna,Gagan Arora,22087,2018,,,TV-MA
657,I Love Lucy,NA,30,"Family, Comedy",8.4,Lucille Ball,Desi Arnaz,Vivian Vance,William Frawley,22061,1951,1957.0,7.0,TV-G
658,Tyrant,NA,60,"Drama, Thriller, Action",7.8,Adam Rayner,Jennifer Finnigan,Ashraf Barhom,Moran Atias,22054,2014,2016.0,3.0,12
659,Counterpart,NA,60,"Drama, Thriller, Sci-Fi",8.1,J.K. Simmons,Olivia Williams,Harry Lloyd,Nazanin Boniadi,22034,2017,2019.0,3.0,16
660,Little Britain,13,29,Comedy,7.6,Matt Lucas,David Walliams,Tom Baker,Paul Putner,21989,2003,2006.0,4.0,6
661,Survivor,NA,60,"Reality-TV, Adventure, Game-Show",7.2,Jeff Probst,Lillian Morris,Jon Dalton,Rob Mariano,21923,2000,,,TV-PG
662,The Amazing World of Gumball,NA,11,"Animation, Adventure, Comedy",8.2,Dan Russell,Teresa Gallagher,Kerry Shale,Kyla Rae Kowalewski,21857,2011,2019.0,9.0,6
663,Permanent Roommates,18+,21,"Romance, Comedy",8.6,Sumeet Vyas,Nidhi Singh,Deepak Kumar Mishra,Shishir Sharma,21856,2014,2016.0,3.0,TV-PG
664,Devious Maids,NA,60,"Mystery, Drama, Comedy",7.8,Ana Ortiz,Dania Ramirez,Roselyn Sanchez,Judy Reyes,21854,2013,2016.0,4.0,12
665,3%,18,49,"Drama, Action, Sci-Fi",7.4,Bianca Comparato,Vaneza Oliveira,Rodolfo Valente,Zezé Motta,21837,2016,2020.0,5.0,TV-14
666,The Missing,NA,60,"Mystery, Drama, Crime",8.2,Tchéky Karyo,Anastasia Hille,David Morrissey,Keeley Hawes,21831,2014,2016.0,3.0,12
667,United States of Tara,NA,30,"Romance, Drama, Comedy",7.9,Toni Collette,John Corbett,Rosemarie DeWitt,Keir Gilchrist,21823,2009,2011.0,3.0,9
668,Zoo,16,42,"Mystery, Drama, Sci-Fi",6.8,James Wolk,Kristen Connolly,Nonso Anozie,Billy Burke,21812,2015,2017.0,3.0,12
669,Man vs. Wild,NA,60,"Reality-TV, Adventure",8.1,Bear Grylls,Will Ferrell,Sean Lacoste,Joe Rest,21798,2006,2020.0,15.0,TV-PG
670,Yakusoku no Neverland,NA,30,"Animation, Drama, Adventure",8.7,Sumire Morohoshi,Mariya Ise,Shinei Ueki,Lynn,21784,2019,,,12
671,Vinyl,18,60,"Drama, Music",7.8,Bobby Cannavale,Paul Ben-Victor,P.J. Byrne,Max Casella,21760,2016,2016.0,1.0,16
672,Tales from the Crypt,NA,25,"Fantasy, Crime, Comedy",8.0,John Kassir,Roy Brocksmith,Miguel Ferrer,Cam Clarke,21696,1989,1996.0,8.0,TV-MA
673,Jackass,NA,535,"Reality-TV, Comedy, Action",7.3,Johnny Knoxville,Chris Pontius,Dave England,Bam Margera,21660,2000,2007.0,8.0,12
674,Black Lightning,13,43,"Drama, Action, Sci-Fi",6.1,Nafessa Williams,Cress Williams,China Anne McClain,Christine Adams,21598,2017,,,16
675,Brothers & Sisters,NA,60,Drama,7.3,Dave Annable,Calista Flockhart,Rachel Griffiths,Ron Rifkin,21550,2006,2011.0,6.0,12
676,9-1-1,12+,43,"Drama, Thriller, Action",7.7,Angela Bassett,Peter Krause,Oliver Stark,Aisha Hinds,21535,2018,,,12
677,Animaniacs,NA,21,"Family, Animation, Comedy",7.9,Rob Paulsen,Jess Harnell,Tress MacNeille,Frank Welker,21520,1993,1998.0,6.0,TV-PG
678,Hustle,NA,60,"Mystery, Drama, Crime",8.1,Robert Glenister,Robert Vaughn,Rob Jarvis,Adrian Lester,21506,2004,2012.0,9.0,6
679,Future Man,18,30,"Comedy, Adventure, Action",7.7,Josh Hutcherson,Eliza Coupe,Derek Wilson,Haley Joel Osment,21500,2017,2020.0,4.0,16
680,Fate: The Winx Saga,16,161.0,"Adventure, Drama, Action",6.9,Abigail Cowen,Hannah van der Westhuysen,Precious Mustapha,Eliot Salt,21438,2021,,,16
681,The Dark Crystal: Age of Resistance,7+,60,"Adventure, Drama, Family",8.5,Neil Sterenberg,Beccy Henderson,Nathalie Emmanuel,Taron Egerton,21388,2019,2019.0,1.0,12
682,Lois & Clark: The New Adventures of Superman,NA,46,"Adventure, Drama, Comedy",6.7,Dean Cain,Teri Hatcher,Lane Smith,K Callan,21385,1993,1997.0,5.0,NA
683,Vice Principals,NA,30,Comedy,8.0,Danny McBride,Walton Goggins,Sheaun McKinney,Georgia King,21335,2016,2018.0,3.0,6
684,Warrior Nun,18,161.0,"Fantasy, Drama, Action",6.8,Alba Baptista,Toya Turner,Kristina Tonteri-Young,Lorena Andrea,21327,2020,,,16
685,Transparent,18,30,"Drama, Comedy",7.8,Jeffrey Tambor,Amy Landecker,Gaby Hoffmann,Jay Duplass,21222,2014,2019.0,6.0,12
686,Mad About You,NA,22,"Romance, Comedy",6.6,Paul Reiser,Helen Hunt,John Pankow,Leila Kenzle,21159,1992,2019.0,28.0,AL
687,Homecoming,16,30,"Mystery, Drama, Thriller",7.5,Stephan James,Bobby Cannavale,Hong Chau,Alex Karpovsky,21126,2018,,,16
688,Derry Girls,18,30,Comedy,8.4,Saoirse-Monica Jackson,Louisa Harland,Nicola Coughlan,Jamie-Lee O'Donnell,21052,2018,,,6
689,The Get Down,18,52,"Musical, Drama, Music",8.3,Justice Smith,Shameik Moore,Herizen F. Guardiola,Skylan Brooks,21049,2016,2017.0,2.0,16
690,Last Resort,NA,60,"Mystery, Drama, Action",7.4,Andre Braugher,Scott Speedman,Daisy Betts,Camille De Pazzis,21009,2012,2013.0,2.0,TV-14
691,Into the Night,16,35.0,"Drama, Thriller, Sci-Fi",7.1,Pauline Etienne,Laurent Capelluto,Mehmet Kurtulus,Babetida Sadjo,20934,2020,,,12
692,Modern Love,16,32,"Romance, Comedy",8.0,Anne Hathaway,Tina Fey,Andy Garcia,Dev Patel,20927,2019,,,16
693,The Order,16+,60,"Fantasy, Drama, Horror",6.8,Jake Manley,Sarah Grey,Adam DiMarco,Louriza Tronco,20909,2019,2020.0,2.0,16
694,American Idol: The Search for a Superstar,NA,42,"Reality-TV, Game-Show, Music",4.1,Ryan Seacrest,Mark Thompson,Randy Jackson,Simon Cowell,20903,2002,,,TV-PG
695,Hung,NA,30,"Drama, Comedy",7.1,Thomas Jane,Jane Adams,Charlie Saxton,Sianoa Smit-McPhee,20832,2009,2011.0,3.0,12
696,The Ren & Stimpy Show,NA,30,"Animation, Adventure, Comedy",7.5,John Kricfalusi,Billy West,Harris Peet,Bob Camp,20803,1991,1996.0,6.0,16
697,CatDog,NA,23,"Animation, Adventure, Comedy",6.6,Jim Cummings,Tom Kenny,Carlos Alazraqui,Billy West,20768,1998,2005.0,8.0,TV-Y
698,The Grim Adventures of Billy & Mandy,NA,30,"Animation, Adventure, Comedy",7.7,Greg Eagles,Richard Steven Horvitz,Grey Griffin,Vanessa Marshall,20748,2001,2007.0,7.0,TV-Y7-FV
699,Monster,NA,24,"Animation, Drama, Crime",8.6,Hidenobu Kiuchi,Liam O'Brien,Mamiko Noto,Karen Strassman,20743,2004,2010.0,7.0,12
700,The Thick of It,NA,29,Comedy,8.7,Chris Addison,James Smith,Peter Capaldi,Joanna Scanlan,20738,2005,2012.0,8.0,TV-MA
701,The Musketeers,NA,55,"Adventure, Drama",7.8,Luke Pasqualino,Tom Burke,Santiago Cabrera,Howard Charles,20700,2014,2016.0,3.0,12
702,Fairy Tail: Fearî teiru,16,24,"Animation, Adventure, Action",8.0,Cherami Leigh,Todd Haberkorn,Tia Lynn Ballard,Colleen Clinkenbeard,20625,2009,2019.0,11.0,TV-14
703,How to Sell Drugs Online (Fast),18,30,"Drama, Crime, Comedy",7.9,Maximilian Mundt,Danilo Kamperidis,Lena Klenke,Damian Hardung,20554,2019,,,16
704,Away,16,2h 5m,"Romance, Drama, Sci-Fi",6.6,Hilary Swank,Josh Charles,Vivian Wu,Mark Ivanir,20535,2020,2020.0,1.0,6
705,The Mighty Boosh,NA,30,"Fantasy, Musical, Comedy",8.3,Julian Barratt,Noel Fielding,Michael Fielding,Rich Fulcher,20502,2003,2007.0,5.0,TV-PG
706,Digimon: Digital Monsters,NA,24,"Animation, Adventure, Action",7.3,Steve Blum,Mona Marshall,Tifanie Christun,Derek Stephen Prince,20387,1999,2003.0,5.0,MG6
707,Transformers,NA,30,"Animation, Adventure, Action",8.0,Frank Welker,Peter Cullen,Corey Burton,Christopher Collins,20372,1984,1987.0,4.0,12
708,Awake,NA,43,"Fantasy, Drama, Mystery",7.9,Jason Isaacs,Laura Allen,Steve Harris,Dylan Minnette,20365,2012,2012.0,1.0,16
709,The Good Fight,18,45,"Drama, Crime",8.3,Christine Baranski,Cush Jumbo,Delroy Lindo,Sarah Steele,20324,2017,,,6
710,Call the Midwife,NA,60,"Drama, History",8.4,Vanessa Redgrave,Laura Main,Jenny Agutter,Judy Parfitt,20260,2012,,,9
711,Killjoys,NA,42,"Adventure, Action, Sci-Fi",7.2,Hannah John-Kamen,Aaron Ashmore,Luke Macfarlane,Tamsen McDonough,20257,2015,2019.0,5.0,TV-MA
712,Victorious,NA,30,"Family, Drama, Comedy",6.9,Ariana Grande,Victoria Justice,Leon Thomas III,Matt Bennett,20250,2010,2013.0,4.0,AL
713,The Unit,NA,60,"Drama, Thriller, Action",8.1,Dennis Haysbert,Regina Taylor,Audrey Marie Anderson,Robert Patrick,20227,2006,2009.0,4.0,12
714,Mighty Morphin Power Rangers,7,30,"Family, Adventure, Action",6.5,Richard Steven Horvitz,David Yost,Ed Neil,David J. Fielding,20198,1993,1996.0,4.0,6
715,Swamp Thing,NA,60,"Adventure, Drama, Action",7.6,Crystal Reed,Virginia Madsen,Andy Bean,Derek Mears,20178,2019,2019.0,1.0,TV-MA
716,The Rookie,NA,43,"Drama, Crime, Comedy",8.1,Nathan Fillion,Alyssa Diaz,Richard T. Jones,Titus Makin Jr.,20170,2018,,,12
717,Virgin River,13+,44,"Romance, Drama",7.5,Alexandra Breckenridge,Martin Henderson,Colin Lawrence,Lauren Hammersley,20132,2019,,,12
718,Flames,Not Rated,20,"Romance, Drama, Comedy",9.1,Ritvik Sahore,Tanya Maniktala,Sunakshi Grover,Shivam Kakar,20106,2018,,,TV-14
719,Madam Secretary,13,45,Drama,7.6,Téa Leoni,Tim Daly,Erich Bergen,Zeljko Ivanek,20055,2014,2019.0,6.0,9
720,Big Love,NA,60,Drama,7.6,Bill Paxton,Jeanne Tripplehorn,Chloë Sevigny,Ginnifer Goodwin,20054,2006,2011.0,6.0,12
721,The Flight Attendant,NA,TV-MATV-MA,"Mystery, Drama, Comedy",7.1,Kaley Cuoco,Michiel Huisman,Zosia Mamet,T.R. Knight,20051,2020,,,TV-MA
722,Ragnarok,18,45,"Fantasy, Drama, Mystery",7.5,David Stakston,Jonas Strand Gravli,Herman Tømmeraas,Theresa Frostad Eggesbø,19996,2020,,,16
723,Ringer,NA,44,"Mystery, Drama, Crime",6.9,Sarah Michelle Gellar,Kristoffer Polaha,Ioan Gruffudd,Nestor Carbonell,19977,2011,2012.0,2.0,6
724,Dragon Ball Kai: Doragon bôru kai,NA,24,"Animation, Adventure, Action",8.2,Masako Nozawa,Jôji Yanami,Sean Schemmel,Richard Ian Cox,19969,2009,2015.0,7.0,TV-14
725,The Adventures of Sherlock Holmes,NA,60,"Mystery, Drama, Crime",8.7,Jeremy Brett,David Burke,Rosalie Williams,Eric Porter,19951,1984,1985.0,2.0,6
726,The Society,18,58,"Mystery, Drama, Sci-Fi",7.1,Kathryn Newton,Gideon Adlon,Sean Berdy,Natasha Liu Bordizzo,19913,2019,2019.0,1.0,12
727,Bir Baskadir,18,49,"Drama, Thriller",8.6,Öykü Karayel,Fatih Artman,Funda Eryigit,Defne Kayalar,19898,2020,,,16
728,Fortitude,NA,60,"Mystery, Drama, Horror",7.4,Richard Dormer,Björn Hlynur Haraldsson,Sienna Guillory,Mia Jexen,19879,2015,2018.0,4.0,18
729,Isler Güçler,NA,86,Comedy,8.5,Murat Cemcir,Ahmet Kural,Sadi Celil Cengiz,Sinasi Yurtsever,19875,2012,2013.0,2.0,TV-PG
730,Black-ish,NA,22,Comedy,7.1,Anthony Anderson,Tracee Ellis Ross,Marcus Scribner,Miles Brown,19744,2014,,,AL
731,Nathan for You,16,30,"Documentary, Comedy",8.9,Nathan Fielder,Anthony Filosa,William Heath,Brian S. Wolfe,19732,2013,2017.0,5.0,TV-14
732,Yeh Meri Family,7+,30,"Family, Drama, Comedy",9.1,Vishesh Bansal,Mona Singh,Akarsh Khurana,Ahan Nirban,19684,2018,2018.0,1.0,TV-14
733,Servant,A,30,"Mystery, Drama, Horror",7.6,Lauren Ambrose,Toby Kebbell,Nell Tiger Free,Rupert Grint,19682,2019,,,16
734,Formula 1: Drive to Survive,18,40,"Sport, Documentary",8.6,Valtteri Bottas,Will Buxton,Pierre Gasly,Romain Grosjean,19676,2019,,,12
735,Borgen,16,58,Drama,8.5,Sidse Babett Knudsen,Birgitte Hjort Sørensen,Emil Poulsen,Freja Riemann,19655,2010,,,12
736,The Act,NA,60,"Biography, Drama, Crime",8.0,Patricia Arquette,Joey King,AnnaSophia Robb,Chloë Sevigny,19625,2019,2019.0,1.0,15
737,Queen of the South,18,42,"Drama, Crime, Action",7.9,Alice Braga,Hemky Madera,Peter Gadiot,Veronica Falcón,19592,2016,,,16
738,TURN,NA,60,"Drama, History, War",8.1,Jamie Bell,Heather Lind,Samuel Roukin,Daniel Henshall,19585,2014,2017.0,4.0,16
739,Gangs of London,NA,1.0,"Drama, Crime, Action",8.1,Ray Panthaki,Joe Cole,Lucian Msamati,Paapa Essiedu,19577,2020,,,16
740,Go On,NA,22,Comedy,7.5,Matthew Perry,Laura Benanti,Julie White,Suzy Nakamura,19562,2012,2013.0,2.0,AL
741,Les Revenants,NA,52,"Fantasy, Drama, Horror",8.2,Anne Consigny,Clotilde Hesme,Frédéric Pierrot,Céline Sallette,19513,2012,2015.0,4.0,16
742,Invader ZIM,PG,24,"Animation, Adventure, Action",8.3,Andy Berman,Richard Steven Horvitz,Rikki Simons,Melissa Fahn,19474,2001,2006.0,6.0,6
743,Pose,18,60,Drama,8.6,Mj Rodriguez,Dominique Jackson,Indya Moore,Angel Bismark Curiel,19432,2018,,,12
744,Legacies,UA,45,"Fantasy, Adventure, Drama",7.5,Danielle Rose Russell,Aria Shahghasemi,Quincy Fouse,Matthew Davis,19385,2018,,,16
745,Foster's Home for Imaginary Friends,NA,30,"Animation, Adventure, Comedy",7.6,Keith Ferguson,Grey Griffin,Candi Milo,Tom Kenny,19378,2004,2009.0,6.0,6
746,Fauda,18+,60,"Drama, Thriller, Action",8.2,Lior Raz,Itzik Cohen,Neta Garty,Rona-Lee Shim'on,19362,2015,,,16
747,Ripper Street,NA,59,"Mystery, Drama, Crime",8.1,Matthew Macfadyen,Adam Rothenberg,MyAnna Buring,Jerome Flynn,19333,2012,2016.0,5.0,12
